course,month,title,status,prove_url,prove_hint
0,Pre Oct 2026,Boot sprint (7 days before 5 Oct 2026),Not started,,Public GitHub reconciler
1,M1 Oct 2026,M1 (Oct 2026): LLM foundations & structured extraction,Not started,,Release v0.2 + README metrics
2,M2 Nov 2026,M2 (Nov 2026): LangGraph & agent state machines,Not started,,HITL demo in README
3,M3 Dec 2026,M3 (Dec 2026): MCP & secure tool surfaces,Not started,,MCP README + redacted config
4,M4 Jan 2027,M4 (Jan 2027): Hybrid retrieval,Not started,,Hybrid benchmark table
5,M5 Feb 2027,M5 (Feb 2027): Document parsing at scale,Not started,,chunks.jsonl + schema
6,M6 Mar 2027,M6 (Mar 2027): Graph & GraphRAG slice,Not started,,Validator test + query
7,M7 Apr 2027,M7 (Apr 2027): Evaluation harness,Not started,,Golden set ≥30 + eval report
8,M8 May 2027,M8 (May 2027): Eval CI/CD gates,Not started,,CI regression screenshot
9,M9 Jun 2027,M9 (Jun 2027): Policy (OPA) + tracing,Not started,,Trace + policy test
10,M10 Jul 2027,M10 (Jul 2027): Capstone integration alpha,Not started,,Tag alpha + caching evidence
11,M11 Aug 2027,M11 (Aug 2027): Deploy & platform UX,Not started,,Deploy screenshot + adding-a-tool.md
12,M12 Sep 2027,M12 (Sep 2027): Lineage & hardening,Not started,,Tag v1.0 + lineage sample
13,M13 Oct 2027,M13 (Oct 2027): Frontier deep dive (pick 1–2),Not started,,README why we added X
14,M14 Nov 2027,M14 (Nov 2027): Frontier + portfolio,Not started,,Posts + resume
15,M15 Dec 2027,M15 (Dec 2027): Interviews & offers,Not started,,Offer or feedback notes
